,carat,potongan,warna,kejernihan,kedalaman,lebar,x,y,z,harga
13703,1.29,b'Very Good',b'H',b'SI2',63.8,57.0,6.8,,4.36,84015000
22041,0.31,b'Ideal',b'I',b'VS1',62.8,55.0,4.35,,2.72,9420000
47452,0.53,b'Ideal',b'D',b'VS2',61.2,57.0,5.2,5.26,3.2,27855000
46425,0.53,b'Good',b'G',b'VVS2',64.3,58.0,5.11,5.15,3.3,26535000
51958,0.56,b'Ideal',b'G',b'IF',62.0,56.0,5.3,5.32,3.29,36630000
37674,0.42,b'Ideal',b'E',b'SI1',62.3,57.0,4.8,4.76,2.98,14880000
35101,0.3,b'Ideal',b'F',b'IF',60.9,56.0,4.33,4.37,2.65,13290000
4408,0.31,b'Ideal',b'I',b'VVS1',62.1,56.0,4.35,4.38,2.71,8565000
47259,0.7,b'Premium',b'J',b'VS2',61.2,60.0,5.7,5.73,3.5,27645000
40740,0.54,b'Good',b'E',b'SI2',63.8,54.0,5.17,5.18,3.3,17445000
9135,1.1,b'Premium',b'H',b'SI2',62.2,58.0,6.6,6.69,4.13,68055000
10833,1.09,b'Ideal',b'H',b'SI1',61.9,56.0,6.64,6.61,4.1,73065000
29290,0.31,b'Ideal',b'I',b'SI1',62.1,54.0,4.37,4.39,2.72,6540000
10745,1.0,b'Premium',b'F',b'SI1',59.7,60.0,6.48,6.51,,72765000
49008,0.53,b'Ideal',b'G',b'VVS2',62.2,54.0,5.22,5.17,3.23,30765000
50066,0.54,b'Ideal',b'F',b'VS1',61.5,55.0,5.26,5.27,3.24,33030000
24576,1.51,b'Very Good',b'G',b'VS2',63.5,57.0,7.23,7.19,4.58,193080000
52195,0.7,b'Premium',b'G',b'VS2',62.5,55.0,5.69,5.64,3.54,37185000
4254,1.06,b'Premium',b'I',b'SI2',58.4,62.0,6.7,6.65,3.9,53685000
48449,0.55,b'Ideal',b'E',b'VS1',61.7,55.0,5.27,5.29,3.26,29625000
45429,0.54,b'Ideal',b'I',b'IF',60.8,56.0,,5.37,3.24,25035000
34537,0.33,b'Ideal',b'H',b'IF',62.1,55.0,4.41,4.44,2.75,13020000
27317,2.01,b'Ideal',b'H',b'VS1',62.9,54.0,8.01,7.96,5.02,267570000
18664,1.34,b'Premium',b'H',b'VS2',62.3,60.0,7.05,7.02,4.38,114450000
43620,0.52,b'Ideal',b'F',b'SI1',60.4,56.0,5.22,5.28,3.17,21480000
135,0.63,b'Premium',b'E',b'VVS1',60.9,60.0,5.52,5.55,3.37,41475000
3707,0.7,b'Premium',b'G',b'VVS2',59.3,54.0,5.89,5.78,3.46,51750000
1735,0.32,b'Very Good',b'G',b'VS2',62.6,58.0,4.37,4.39,2.74,8415000
40277,0.31,b'Ideal',b'G',b'SI1',62.1,54.0,4.34,4.36,2.7,7395000
4383,0.31,b'Very Good',b'D',b'SI1',62.9,57.0,4.27,4.32,,8565000
9774,1.12,b'Premium',b'D',b'SI2',59.5,59.0,6.8,6.75,4.03,69945000
24325,1.54,b'Fair',b'E',b'SI1',64.7,56.0,7.28,7.22,4.69,188715000
44349,0.56,b'Ideal',b'G',b'VS2',61.7,56.0,5.3,5.34,3.28,23700000
26449,1.53,b'Ideal',b'G',b'VVS1',61.8,55.0,7.43,7.45,4.59,239880000
44733,0.57,b'Very Good',b'G',b'VS2',62.2,60.0,5.28,5.3,3.29,24255000
23903,1.5,b'Very Good',b'G',b'VS2',60.5,57.0,7.39,7.43,4.48,180210000
48753,0.76,b'Good',b'I',b'SI1',64.1,59.0,5.75,5.73,3.68,30240000
34710,0.37,b'Ideal',b'D',b'SI1',61.5,57.0,4.63,4.6,2.84,13110000
466,0.86,b'Premium',b'F',b'SI2',59.3,62.0,6.36,6.22,3.73,42270000
42933,0.32,b'Very Good',b'H',b'VS2',62.4,58.0,4.33,4.36,2.71,7575000
6328,0.71,b'Ideal',b'D',b'VS2',61.7,56.0,5.71,5.74,,60435000
51219,0.5,b'Ideal',b'H',b'IF',61.8,56.0,5.1,5.13,3.16,35280000
36946,0.32,b'Ideal',b'H',b'SI1',61.8,55.0,4.39,4.41,2.72,7185000
44209,0.51,b'Ideal',b'D',b'SI1',61.9,54.0,5.14,5.2,3.19,23535000
49884,0.7,b'Premium',b'G',b'SI2',61.1,60.0,5.67,5.62,3.45,32655000
48765,0.7,b'Very Good',b'H',b'SI1',59.2,59.0,5.79,5.86,3.45,30270000
45671,0.52,b'Ideal',b'E',b'VS2',62.1,56.0,,5.17,3.22,25410000
46922,0.52,b'Ideal',b'G',b'VS1',61.8,55.0,5.21,5.17,3.21,27225000
5400,1.01,b'Ideal',b'J',b'SI1',62.9,56.0,6.4,6.35,4.01,57270000
36719,0.41,b'Very Good',b'E',b'VS1',62.2,58.0,4.74,4.78,2.96,14310000
35256,0.4,b'Ideal',b'E',b'VVS2',61.1,57.0,4.77,4.79,2.92,13425000
767,0.73,b'Ideal',b'D',b'SI1',61.5,56.0,5.84,5.8,3.58,42870000
19953,1.15,b'Premium',b'G',b'VVS2',58.4,59.0,6.92,6.84,4.02,127515000
8927,1.11,b'Ideal',b'J',b'SI1',62.4,57.0,6.57,6.6,4.11,67455000
50673,0.7,b'Ideal',b'I',b'SI1',62.6,54.0,5.63,5.71,3.55,34305000
34783,0.4,b'Ideal',b'G',b'VS1',62.4,57.0,4.72,4.74,2.95,13155000
34035,0.3,b'Ideal',b'G',b'VVS2',61.8,57.0,4.31,4.33,2.67,12750000
9309,1.01,b'Very Good',b'E',b'SI2',62.2,58.0,6.36,6.43,3.98,68625000
16837,1.06,b'Premium',b'E',b'VS2',62.3,58.0,6.49,6.52,4.05,100740000
42349,0.39,b'Premium',b'G',b'IF',59.0,60.0,4.75,4.78,2.81,19500000
26192,2.14,b'Premium',b'I',b'VS2',59.3,59.0,8.43,8.39,5.0,233385000
15185,1.2,b'Very Good',b'E',b'SI1',62.6,58.0,6.73,6.78,,91470000
44502,0.9,b'Premium',b'H',b'I1',58.8,62.0,6.32,6.26,3.7,23985000
42999,0.55,b'Ideal',b'D',b'SI2',61.3,57.0,5.28,,3.22,20520000
42665,0.56,b'Ideal',b'F',b'SI1',61.5,55.0,5.3,5.34,3.27,20010000
29114,0.34,b'Very Good',b'H',b'VS2',63.1,56.0,4.46,4.41,2.8,10335000
39353,0.44,b'Ideal',b'E',b'VS2',61.5,56.0,4.92,4.9,3.02,16095000
713,1.02,b'Fair',b'I',b'SI1',53.0,63.0,6.84,6.77,3.66,42840000
47817,0.58,b'Ideal',b'E',b'VS2',61.8,57.0,5.32,5.36,3.3,28545000
14051,0.31,b'Premium',b'G',b'VS2',58.8,62.0,4.41,4.4,2.59,9075000
23600,1.61,b'Very Good',b'H',b'VS2',59.4,58.0,7.64,7.74,4.57,174405000
26879,1.71,b'Premium',b'G',b'VS1',62.7,58.0,7.66,7.62,4.79,252195000
47034,0.55,b'Ideal',b'F',b'VS2',61.1,57.0,5.3,5.27,3.23,27285000
542,1.01,b'Premium',b'H',b'SI2',61.6,61.0,6.39,6.31,3.91,42420000
51409,0.79,b'Premium',b'H',b'SI2',62.8,57.0,5.91,5.88,3.7,35550000
20730,1.51,b'Good',b'I',b'VS1',65.9,56.0,7.02,7.09,4.65,134625000
19498,1.23,b'Ideal',b'G',b'VS2',61.5,54.0,6.92,6.89,4.25,121995000
47985,0.24,b'Very Good',b'F',b'VVS2',58.0,60.0,4.09,4.12,2.38,7995000
20544,1.62,b'Ideal',b'H',b'SI2',61.8,54.0,7.55,7.6,4.68,132975000
9965,1.0,b'Very Good',b'H',b'SI1',62.3,60.0,6.34,6.38,3.96,70530000
17744,1.56,b'Premium',b'J',b'VS1',61.3,59.0,7.54,7.49,4.61,107160000
29965,0.31,b'Very Good',b'H',b'SI1',61.4,55.0,4.36,4.44,2.7,6690000
41660,0.5,b'Ideal',b'D',b'SI2',61.6,57.0,5.1,5.13,3.15,18585000
30723,0.41,b'Good',b'D',b'SI1',63.8,56.0,4.68,4.72,3.0,11070000
32503,0.42,b'Very Good',b'G',b'SI1',61.9,55.0,4.78,4.88,2.99,11970000
46050,0.57,b'Very Good',b'E',b'VS2',60.7,58.0,5.37,5.33,3.25,25980000
1167,0.77,b'Very Good',b'H',b'VS1',63.3,57.0,5.79,5.83,3.68,43905000
22115,1.1,b'Ideal',b'D',b'VS1',61.9,56.0,6.58,6.61,,152160000
28634,0.33,b'Very Good',b'I',b'SI1',63.0,57.0,4.37,4.39,2.76,6510000
22142,1.01,b'Good',b'G',b'VS2',63.6,56.0,6.31,6.24,3.99,152715000
40061,0.53,b'Premium',b'H',b'SI2',62.5,60.0,5.18,5.16,3.23,16695000
7020,1.12,b'Premium',b'G',b'SI2',61.2,58.0,6.69,6.67,4.09,62370000
16051,1.01,b'Good',b'G',b'VS1',63.2,61.0,6.33,6.35,4.01,96180000
30731,0.33,b'Ideal',b'D',b'VS1',61.7,55.0,4.47,4.48,2.76,11085000
20695,1.03,b'Ideal',b'E',b'VVS2',61.9,57.0,6.5,6.46,4.01,134580000
20592,1.63,b'Premium',b'I',b'VS1',60.9,58.0,7.63,7.58,4.63,133500000
37571,0.5,b'Very Good',b'J',b'SI1',62.8,58.0,5.05,5.08,3.18,14850000
13903,1.05,b'Premium',b'D',b'SI1',60.5,60.0,6.53,6.62,3.98,84885000
50494,0.7,b'Premium',b'F',b'SI1',61.8,59.0,5.76,5.67,3.53,34020000
38115,0.3,b'Premium',b'H',b'IF',62.9,58.0,4.29,4.26,2.69,15195000
34309,0.29,b'Ideal',b'E',b'VVS1',62.7,55.0,4.22,4.2,2.64,12870000
15586,1.5,b'Premium',b'H',b'SI2',61.1,59.0,7.41,7.35,4.51,93750000
11185,1.01,b'Premium',b'H',b'VVS1',60.5,57.0,6.55,6.48,3.94,74325000
15902,1.07,b'Very Good',b'G',b'VS2',60.9,58.0,6.56,6.6,4.01,95325000
29262,0.31,b'Premium',b'G',b'VS2',60.9,58.0,4.38,4.35,2.66,10470000
44184,0.5,b'Very Good',b'D',b'VS2',63.3,56.0,5.0,5.05,3.18,23535000
10045,0.31,b'Ideal',b'I',b'SI1',62.5,56.0,4.29,4.35,2.7,6270000
5466,0.91,b'Very Good',b'D',b'SI2',63.9,56.0,6.06,6.09,3.88,57555000
7657,1.1,b'Premium',b'I',b'SI2',62.6,59.0,6.57,6.53,4.1,64035000
14985,1.0,b'Good',b'F',b'VS2',63.7,59.0,6.32,6.27,4.01,90555000
4834,0.77,b'Ideal',b'H',b'VVS2',61.3,56.0,5.91,5.94,3.63,55605000
14303,1.21,b'Premium',b'H',b'SI1',62.8,59.0,6.72,6.68,4.21,86895000
6584,1.03,b'Premium',b'H',b'SI2',62.3,59.0,6.42,6.46,4.01,61170000
2773,0.7,b'Ideal',b'G',b'VS2',61.6,57.0,5.7,5.73,3.53,48795000
50270,0.64,b'Ideal',b'E',b'VS2',62.0,55.0,5.52,5.55,3.43,33570000
40627,0.41,b'Premium',b'E',b'VS1',61.2,58.0,4.78,4.76,2.92,17295000
26813,2.09,b'Ideal',b'I',b'SI1',61.4,56.0,8.23,8.27,5.06,250560000
32549,0.27,b'Ideal',b'D',b'VVS1',62.2,56.0,4.15,4.12,2.57,11985000
51762,0.53,b'Ideal',b'E',b'VVS1',61.7,57.0,5.17,5.21,3.2,36105000
6374,0.3,b'Premium',b'H',b'VS1',60.0,60.0,4.4,,2.61,8640000
51873,0.7,b'Good',b'H',b'VVS2',63.7,54.0,5.72,5.62,3.61,36405000
25731,1.51,b'Good',b'G',b'IF',62.8,60.0,7.18,7.24,4.53,219810000
2377,0.32,b'Very Good',b'I',b'VVS2',63.0,57.0,4.33,4.37,2.74,8415000
13420,1.2,b'Premium',b'I',b'SI1',61.1,58.0,6.88,6.8,4.18,82650000
33392,0.33,b'Ideal',b'F',b'VVS1',60.6,59.0,4.45,4.5,2.71,12420000
38130,0.3,b'Very Good',b'G',b'VVS1',63.4,56.0,4.31,4.27,2.72,15195000
18081,1.01,b'Good',b'G',b'VVS2',58.2,55.0,6.65,6.68,3.88,109590000
43323,0.51,b'Very Good',b'D',b'SI1',61.7,58.0,5.09,5.12,3.15,21045000
6907,0.9,b'Very Good',b'H',b'VS1',61.5,59.0,6.13,6.19,3.79,62040000
51597,0.7,b'Good',b'I',b'VVS2',63.4,59.0,5.57,5.6,3.54,35910000
5594,1.01,b'Fair',,b'SI1',64.5,59.0,,6.23,4.03,58035000
9839,1.1,b'Good',b'F',b'SI2',60.5,61.0,6.61,6.67,,70110000
26126,2.04,b'Very Good',b'I',b'SI1',63.1,58.0,8.06,7.99,5.06,231180000
1671,0.7,b'Very Good',b'G',b'VS2',61.8,55.0,5.69,5.74,3.53,45390000
8358,0.77,b'Very Good',b'F',b'VVS1',60.2,58.0,5.93,5.97,3.58,65985000
13117,1.02,b'Very Good',b'F',b'SI1',59.4,60.0,6.48,6.59,3.88,81450000
6694,0.31,b'Ideal',b'G',b'SI2',61.7,56.0,4.34,4.38,2.69,6120000
24479,1.1,b'Ideal',b'E',b'VVS1',61.1,56.0,6.69,6.73,4.1,191220000
40815,0.32,b'Ideal',b'E',b'IF',62.6,55.0,4.41,4.38,2.75,17550000
46224,0.61,b'Premium',b'H',b'VVS2',60.9,60.0,5.47,5.5,3.34,26280000
32978,0.37,b'Ideal',b'F',b'VS1',61.1,57.0,4.61,4.65,2.83,12165000
40168,0.38,b'Very Good',b'D',b'VS2',63.4,55.0,,4.63,2.95,16755000
41558,0.52,b'Very Good',b'D',b'SI1',62.0,60.0,5.18,5.11,3.19,18555000
34720,0.39,b'Very Good',b'G',b'VVS2',62.1,55.0,4.67,4.7,2.91,13125000
45787,0.64,b'Ideal',b'J',b'VVS2',62.4,57.0,5.48,5.51,3.43,25635000
11367,1.0,b'Ideal',b'G',b'SI1',61.9,56.0,6.37,6.45,3.97,74955000
3794,0.71,b'Very Good',b'E',b'VS1',61.6,59.0,5.65,5.72,3.5,51960000
43231,0.4,b'Premium',b'E',b'VVS1',61.4,59.0,4.74,4.68,2.89,20955000
32971,0.37,b'Very Good',b'E',b'VS2',61.8,59.0,4.56,4.6,2.83,12165000
20183,1.52,b'Premium',b'I',b'SI1',61.9,58.0,7.42,7.37,4.58,129465000
2503,0.7,b'Premium',b'E',b'VS2',61.0,59.0,5.74,5.7,3.49,47985000
48488,0.5,b'Fair',b'D',b'VVS2',67.6,57.0,4.95,4.84,3.31,29700000
34439,0.32,b'Ideal',b'E',b'VVS2',62.4,56.0,4.39,4.43,2.75,12960000
24791,1.51,b'Ideal',b'G',b'VS2',62.2,59.0,7.28,7.34,4.55,197445000
30930,0.26,b'Ideal',b'H',b'VS1',61.8,56.0,4.12,4.14,2.55,6720000
43246,0.42,b'Ideal',b'G',b'IF',61.6,56.0,4.85,4.86,2.99,21000000
47694,0.5,b'Ideal',b'G',b'VVS1',62.2,54.0,5.1,5.13,3.18,28245000
25003,1.51,b'Ideal',b'G',b'VS2',62.1,55.0,7.33,7.38,,202980000
16325,1.27,b'Premium',b'I',b'VS1',62.2,59.0,6.92,6.87,4.29,97980000
22223,1.54,b'Very Good',b'H',b'SI1',62.2,58.0,7.32,7.45,4.59,154185000
22480,1.19,b'Ideal',b'G',b'VVS1',61.6,59.0,6.78,6.79,4.18,157620000
42698,0.52,b'Very Good',b'G',b'SI1',63.3,55.0,5.1,5.07,3.22,20070000
41298,0.51,b'Premium',b'I',b'VVS2',59.4,60.0,5.26,5.21,3.11,18165000
1313,0.7,b'Premium',b'D',b'VS1',60.4,58.0,5.78,5.71,3.47,44340000
25608,1.73,b'Good',b'E',b'SI1',64.2,58.0,7.54,7.5,4.83,217185000
39055,0.39,b'Good',b'F',b'VVS2',57.7,61.0,4.91,4.8,2.8,15870000
21276,1.27,b'Ideal',b'G',b'VS1',59.6,57.0,7.09,7.06,4.22,141465000
15774,1.28,b'Ideal',b'I',b'VS2',61.4,57.0,7.04,6.97,4.3,94620000
2024,1.52,b'Good',b'E',b'I1',57.3,58.0,7.53,7.42,4.28,46575000
33216,0.4,b'Premium',b'E',b'SI2',60.5,59.0,4.78,4.74,2.88,12315000
13653,1.09,b'Very Good',b'J',b'VVS1',63.9,56.0,6.47,6.51,4.15,83820000
49904,0.74,b'Very Good',b'E',b'SI2',61.7,56.0,5.76,5.9,3.6,32685000
50583,0.7,b'Very Good',b'G',b'SI1',62.7,55.0,5.63,5.66,3.54,34215000
19138,1.2,b'Ideal',b'D',b'SI1',62.7,55.0,6.79,6.71,4.23,118545000
29839,0.3,b'Ideal',b'D',b'VS2',62.5,54.0,4.29,4.32,2.69,10650000
1864,0.7,b'Very Good',b'E',b'VS1',63.4,60.0,,5.66,3.58,46020000
43860,0.6,b'Premium',b'D',b'SI2',62.3,59.0,,5.31,3.34,21735000
40106,0.5,b'Fair',b'E',b'SI2',59.8,66.0,5.18,5.09,3.07,16710000
39347,0.46,b'Ideal',b'I',b'VS2',62.2,56.0,4.96,4.9,3.07,16095000
3430,0.78,b'Very Good',b'E',b'SI1',59.8,57.0,5.98,6.02,3.59,50775000
10994,0.91,b'Very Good',b'E',b'SI1',62.3,59.0,6.18,6.21,3.86,73710000
5709,0.25,b'Very Good',b'F',b'VVS2',61.8,58.0,4.05,4.07,2.51,8625000
27316,2.1,b'Very Good',b'I',b'VS2',59.4,60.0,8.39,8.47,5.01,267555000
51509,0.74,b'Premium',b'F',b'SI2',59.2,60.0,5.96,5.9,3.51,35745000
33451,0.32,b'Premium',b'G',b'VS1',62.4,58.0,4.4,4.35,2.73,12420000
51579,0.61,b'Premium',b'F',b'VVS2',59.7,58.0,5.56,5.53,3.31,35880000
28165,0.3,b'Ideal',b'H',b'VVS1',61.9,57.0,4.29,4.31,2.66,9975000
47505,0.56,b'Premium',b'D',b'SI1',62.3,58.0,5.28,5.21,3.27,27975000
16079,1.5,b'Good',b'J',b'SI2',63.6,58.0,7.25,7.18,4.59,96315000
2484,0.83,b'Very Good',b'G',b'VS2',62.7,58.0,5.97,6.03,3.76,47925000
50635,0.23,b'Very Good',b'F',b'VS2',61.0,59.0,3.95,3.99,2.42,6030000
44273,0.52,b'Ideal',b'E',b'VS2',60.4,57.0,5.17,5.22,3.14,23640000
28881,0.39,b'Premium',b'I',b'SI2',61.0,58.0,4.75,4.7,2.88,10260000
53491,0.71,b'Very Good',b'D',b'SI1',61.0,58.0,5.71,5.87,3.53,40245000
27212,2.29,b'Premium',b'H',b'VS2',61.6,60.0,8.45,8.43,5.2,263085000
21966,1.5,b'Good',b'G',b'VS1',63.6,57.0,7.23,7.14,4.57,150540000
50883,0.76,b'Very Good',b'I',b'SI1',57.5,62.0,6.03,6.08,3.48,34740000
53765,0.7,b'Very Good',b'D',b'SI1',61.8,55.0,5.73,5.76,3.55,40890000
51335,0.71,b'Premium',b'I',b'VS2',62.9,60.0,5.66,5.62,3.55,35430000
48829,0.52,b'Ideal',b'G',b'VVS1',62.0,55.0,5.15,5.18,3.2,30435000
31566,0.31,b'Ideal',b'D',b'VVS2',61.9,56.0,4.37,4.39,2.71,11490000
24565,1.62,b'Ideal',b'F',b'SI1',62.5,55.0,7.56,7.52,4.71,192855000
22377,0.31,b'Very Good',b'H',b'VS2',63.1,57.0,4.31,4.28,2.71,9420000
21912,1.32,b'Ideal',b'G',b'VS1',62.6,56.0,7.05,7.0,4.4,149685000
11616,1.2,b'Good',b'G',b'SI2',63.6,54.0,6.71,6.75,4.28,75735000
24986,1.72,b'Good',b'F',b'SI1',64.3,60.0,7.52,7.56,4.85,202485000
35728,0.3,b'Ideal',b'D',b'VS2',62.5,55.0,4.31,4.3,2.69,13665000
14381,0.3,b'Premium',b'F',b'VS2',62.2,58.0,4.28,4.31,2.67,9075000
9296,1.02,b'Premium',b'F',b'SI2',62.5,57.0,6.47,6.43,4.03,68550000
25832,1.7,b'Fair',b'G',b'VS2',64.5,58.0,7.51,7.43,4.82,222900000
10776,1.08,b'Very Good',b'E',b'SI2',63.4,56.0,6.55,6.5,4.14,72855000
33787,0.4,b'Premium',b'I',b'VVS1',60.8,58.0,4.76,4.78,2.9,12630000
21379,0.34,b'Ideal',b'D',b'SI1',60.4,57.0,4.51,4.53,2.73,9390000
17683,1.02,b'Premium',b'G',b'VS1',61.0,61.0,6.58,6.53,4.0,106935000
52240,0.73,b'Ideal',b'I',b'VVS2',63.3,57.0,5.77,5.73,3.64,37275000
369,1.0,b'Fair',b'G',b'I1',66.4,59.0,6.16,6.09,4.07,42120000
17856,1.0,b'Very Good',b'F',b'VS1',60.4,59.0,6.4,6.51,3.9,108060000
45782,0.67,b'Good',b'I',b'VS2',60.7,61.4,5.6,5.64,3.41,25620000
38242,0.41,b'Ideal',b'D',b'VS1',62.3,56.0,4.71,4.79,2.96,15270000
21080,1.01,b'Ideal',b'E',b'VVS2',62.8,56.0,6.39,6.34,4.0,138810000
39603,0.31,b'Ideal',b'H',b'SI1',62.0,53.9,4.35,4.39,2.7,7365000
49664,0.62,b'Ideal',b'G',b'VS1',61.8,57.0,5.47,5.5,3.39,32115000
29087,0.34,b'Ideal',b'H',b'VS2',60.5,56.0,4.58,4.54,2.76,10335000
15681,1.22,b'Premium',b'G',b'SI1',62.3,58.0,6.83,6.76,4.23,94320000
33762,0.4,b'Very Good',b'G',b'SI1',63.2,58.0,,4.61,2.94,12600000
14531,1.21,b'Very Good',b'I',b'VS1',61.2,58.0,6.85,6.91,4.21,87990000
8451,1.07,b'Premium',b'H',b'SI2',61.2,60.0,6.53,6.57,4.01,66195000
49979,0.3,b'Very Good',b'G',b'VS2',61.7,56.0,4.32,4.35,2.67,8115000
27755,0.32,b'Premium',b'I',b'VS1',61.9,58.0,4.4,4.36,2.71,9720000
19459,2.01,b'Good',b'J',b'SI1',64.3,54.0,8.05,7.95,5.14,121560000
29703,0.4,b'Ideal',b'E',b'SI1',62.5,57.0,4.7,4.74,2.95,10605000
29066,0.4,b'Good',b'F',b'SI1',63.1,58.0,4.66,4.69,2.95,10305000
26713,0.32,b'Premium',b'F',b'VS2',61.5,58.0,4.39,4.42,2.71,9675000
21045,0.31,b'Ideal',b'H',b'VVS2',61.8,56.0,4.34,4.36,2.69,9375000
43714,0.45,b'Good',b'G',b'IF',59.6,61.0,5.0,5.04,2.99,21555000
51385,0.71,b'Ideal',,b'VS1',62.3,59.0,5.68,5.72,3.55,35520000
36994,0.54,b'Ideal',b'J',b'SI1',62.5,54.0,5.22,5.25,3.27,14460000
31109,0.41,b'Very Good',b'J',b'VVS2',63.1,60.0,4.67,4.71,2.96,11310000
34048,0.36,b'Very Good',b'D',b'SI1',63.4,57.0,4.57,4.55,2.89,12765000
51776,0.7,b'Ideal',b'F',b'SI1',62.6,55.0,5.67,5.7,3.56,36150000
33865,0.3,b'Ideal',b'E',b'VS2',61.8,55.0,4.35,4.33,2.68,12660000
3758,0.75,b'Ideal',b'D',b'VS2',62.4,55.0,5.83,5.8,3.63,51840000
44134,0.5,b'Very Good',b'E',b'VS2',60.2,60.0,5.13,5.17,3.1,23415000
38386,0.42,b'Ideal',b'E',b'VS2',62.3,55.0,4.83,4.77,2.99,15360000
21935,1.01,b'Fair',b'D',b'SI2',64.6,58.0,6.25,6.2,4.02,150165000
10629,1.15,b'Premium',b'H',b'SI2',61.6,60.0,6.75,6.72,4.15,72450000
45315,0.32,b'Very Good',b'G',b'VS2',60.1,61.0,4.41,4.44,2.66,7860000
20644,1.5,b'Very Good',b'H',b'VS2',61.5,57.0,7.32,7.37,4.52,134040000
7443,0.9,b'Good',b'F',b'SI1',64.2,56.0,6.02,6.1,3.89,63480000
46020,0.53,b'Ideal',b'E',b'VS2',62.5,57.0,5.18,5.16,3.23,25905000
3297,1.13,b'Ideal',b'F',b'I1',61.2,56.0,6.76,6.71,4.12,50490000
25010,2.0,b'Good',b'J',b'VS2',61.4,63.0,8.01,8.08,4.94,203130000
30757,0.25,b'Ideal',b'E',b'VVS2',62.1,57.0,4.07,4.04,2.52,11100000
15555,1.22,b'Premium',b'E',b'SI2',61.5,58.0,,6.85,4.2,93555000
11248,1.02,b'Ideal',b'F',b'SI2',61.6,56.0,,6.5,3.99,74520000
32011,0.31,b'Ideal',b'D',b'VVS2',60.1,56.0,,4.46,2.67,11655000
34173,0.33,b'Premium',b'G',b'VS1',61.6,60.0,4.46,4.41,2.73,12810000
19580,1.01,b'Very Good',b'F',b'VVS2',59.8,58.0,6.47,6.55,3.89,123180000
30655,0.31,b'Very Good',b'D',b'VS1',62.3,56.0,4.33,4.37,2.71,11040000
38831,0.43,b'Ideal',b'E',b'VS2',62.1,56.0,4.87,4.83,3.01,15720000
28260,0.24,b'Very Good',b'E',b'VS1',61.5,57.0,3.99,4.07,2.48,5355000
33965,0.34,b'Ideal',b'F',b'VVS2',62.0,54.2,4.47,4.49,2.78,12690000
45637,0.25,b'Very Good',b'G',b'VVS1',61.8,57.0,4.04,4.07,2.5,7875000
39209,0.54,b'Ideal',b'H',b'SI1',62.0,54.0,5.23,5.28,3.26,15975000
52914,0.75,b'Premium',b'H',b'VS1',58.9,62.0,5.96,5.93,3.5,38820000
37302,0.5,b'Premium',b'G',b'SI2',60.7,57.0,5.15,5.07,3.1,14670000
13302,1.2,b'Ideal',b'E',b'SI2',61.1,55.0,,6.87,4.21,82410000
24054,0.31,b'Ideal',b'I',b'IF',60.9,57.0,4.37,4.4,2.67,9525000
52258,0.7,b'Ideal',b'I',b'VVS1',61.4,55.0,5.7,5.76,3.52,37335000
12472,1.08,b'Premium',b'H',b'VS2',62.4,58.0,6.56,6.49,4.07,78750000
27234,1.64,b'Ideal',b'G',b'VVS2',61.8,56.0,7.59,7.6,4.69,264060000
18175,1.5,b'Good',b'J',b'VS2',59.6,60.0,7.31,7.38,4.38,110520000
21373,0.34,b'Premium',b'D',b'SI1',62.7,59.0,4.42,4.45,2.78,9390000
40592,0.28,b'Ideal',b'I',b'VVS2',62.2,55.0,4.21,4.24,2.63,7455000
48706,0.56,b'Ideal',b'E',b'VS1',61.1,56.0,5.29,5.34,3.25,30150000
33040,0.32,b'Ideal',b'G',b'VVS1',62.2,53.0,4.42,4.45,2.76,12210000
51777,0.71,b'Premium',b'E',b'SI2',59.0,60.0,5.9,5.87,3.47,36150000
35350,0.42,b'Ideal',b'H',b'SI1',62.4,57.0,4.79,4.76,2.98,13470000
27438,2.0,b'Ideal',b'H',b'SI1',61.8,57.0,8.1,8.15,5.02,270930000
31139,0.41,b'Very Good',b'E',b'SI1',62.9,57.0,4.73,4.78,2.99,11325000
18596,1.12,b'Premium',b'D',b'VS2',63.0,57.0,6.62,,4.15,113805000
50262,0.54,b'Ideal',b'G',b'VVS1',62.2,56.0,5.22,5.2,3.24,33540000
21332,1.2,b'Premium',b'G',b'VVS2',59.7,60.0,7.0,6.91,4.15,142125000
48575,0.56,b'Ideal',b'G',b'VVS1',61.7,57.0,5.29,5.31,3.27,29895000
33067,0.32,b'Ideal',b'H',b'IF',61.6,55.0,4.41,,2.72,12210000
38072,0.3,b'Ideal',b'E',b'VVS2',60.2,57.0,4.4,4.37,2.64,15195000
11691,1.34,b'Very Good',b'E',b'SI2',62.1,63.0,7.06,7.01,4.37,75975000
30650,0.3,b'Ideal',b'E',b'VS1',61.3,57.0,4.3,4.34,2.65,11040000
33214,0.31,b'Ideal',b'F',b'VS1',61.4,55.0,4.39,4.4,2.7,12315000
17147,1.01,b'Premium',b'G',b'VVS2',61.4,58.0,6.46,6.51,3.98,102645000
18817,1.21,b'Very Good',b'E',b'SI1',62.2,60.0,6.78,6.76,4.21,115545000
41978,0.55,b'Ideal',b'F',b'SI2',62.3,57.0,5.27,5.22,3.27,18945000
26693,0.28,b'Very Good',b'H',b'VS1',62.4,56.0,4.2,4.23,2.63,6435000
17311,1.28,b'Premium',b'D',b'SI2',61.2,58.0,,6.96,4.3,104040000
